date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate,retail_recreation,grocery_pharmacy,transit,workplaces,residential,day_of_week,day_of_month,month,year,week_of_year,is_weekend,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_major_holiday,new_cases_lag_1,new_cases_lag_3,new_cases_lag_7,new_cases_lag_14,new_cases_rolling_mean_3,new_cases_rolling_std_3,new_cases_rolling_max_3,new_cases_rolling_mean_7,new_cases_rolling_std_7,new_cases_rolling_max_7,new_cases_rolling_mean_14,new_cases_rolling_std_14,new_cases_rolling_max_14,new_cases_growth_rate,new_cases_acceleration,new_cases_cumulative,mobility_index,retail_recreation_lag_7,retail_recreation_lag_14,grocery_pharmacy_lag_7,grocery_pharmacy_lag_14,transit_lag_7,transit_lag_14,workplaces_lag_7,workplaces_lag_14,residential_lag_7,residential_lag_14,cases_mobility_interaction
2020-01-22,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,2,22,1,2020,4,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,13629.5,13689.0,13765.0,14092.0,0.0,828.816644310026,0.0,0.0,1704.6819710994796,0.0,0.0,2290.060380571911,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-23,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,3,23,1,2020,4,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0.0,13689.0,13765.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-24,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,4,24,1,2020,4,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0.0,13689.0,13765.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-25,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,5,25,1,2020,4,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,0.0,0.0,13765.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-26,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,6,26,1,2020,4,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,1,0.0,0.0,13765.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-27,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,0,27,1,2020,5,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0.0,0.0,13765.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-28,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,1,28,1,2020,5,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0.0,0.0,13765.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,-0.9136763710223426,-1.150554675118859,41.14899622106755,40.56143344709898,5.152085248019077,4.954113924050633,-2.7639304102308584,-3.01497005988024,13.61595097322118,13.6016,-160.8358783777736
2020-01-29,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,2,29,1,2020,5,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0.0,0.0,0.0,14092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.499459358195776,0.0,-3.640654594646458,2.583596214511041,-1.150554675118859,2.589018302828619,40.56143344709898,5.383280757097792,4.954113924050633,5.74885145482389,-3.01497005988024,-0.84688995215311,13.6016,0.0
2020-01-30,1,0,India,1.0,0.0,0.1428571428571428,500.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,3,30,1,2020,5,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0.0,0.0,0.0,14092.0,0.3333333333333333,0.5773502691896258,1.0,0.14285714285714285,0.37796447300922725,1.0,0.1111111111111111,0.3333333333333333,1.0,500.0,-1.499459358195776,1.0,-3.640654594646458,2.583596214511041,-1.150554675118859,2.589018302828619,40.56143344709898,5.383280757097792,4.954113924050633,5.74885145482389,-3.01497005988024,-0.84688995215311,13.6016,0.0
2020-01-31,1,0,India,0.0,0.0,0.1428571428571428,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311,4,31,1,2020,5,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,1.0,0.0,0.0,14092.0,0.3333333333333333,0.5773502691896258,1.0,0.14285714285714285,0.37796447300922725,1.0,0.1,0.31622776601683794,1.0,-100.0,-100.0,1.0,-3.640654594646458,2.583596214511041,-1.150554675118859,2.589018302828619,40.56143344709898,5.383280757097792,4.954113924050633,5.74885145482389,-3.01497005988024,-0.84688995215311,13.6016,0.0
