date,retail_recreation,grocery_pharmacy,transit,workplaces,residential
2020-02-15,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-16,3.265402843601896,2.971476510067114,4.8107255520504735,1.2237654320987654,-0.48697068403908794
2020-02-17,1.6333333333333333,2.2737896494156926,3.9873817034700316,5.593893129770993,-0.7968253968253968
2020-02-18,2.337025316455696,2.589018302828619,4.234276729559748,5.45565749235474,-0.37042925278219396
2020-02-19,1.353968253968254,2.6872909698996654,3.998422712933754,6.025954198473283,-0.2972972972972973
2020-02-20,2.689873417721519,4.106312292358804,7.197160883280757,5.227134146341464,-0.928343949044586
2020-02-21,-2.4500792393026942,-2.1212624584717608,-2.0425867507886437,-15.629969418960245,3.5528846153846154
2020-02-22,-0.20411392405063292,-1.0016611295681064,0.3217665615141956,0.12557427258805512,0.532051282051282
2020-02-23,-0.629746835443038,-0.5226130653266332,2.3769716088328074,3.384259259259259,0.5758564437194127
2020-02-24,0.9128367670364501,1.394342762063228,3.777602523659306,5.647328244274809,-0.30317460317460315
2020-02-25,0.8857142857142857,-0.14451827242524917,3.530708661417323,3.1376146788990824,-0.3073248407643312
2020-02-26,2.0665610142630744,1.2207357859531773,5.148264984227129,3.9175572519083968,-1.5087440381558028
2020-02-27,1.0,0.729235880398671,3.5205047318611986,5.126717557251909,-0.767515923566879
2020-02-28,1.5055467511885896,1.3172757475083057,2.9290220820189274,6.4257274119448695,-0.4570063694267516
2020-02-29,-1.1990521327014219,-0.9219269102990033,1.5811023622047244,7.934150076569678,-0.2571884984025559
2020-03-01,0.8444444444444444,2.1043771043771042,2.034700315457413,4.037037037037037,0.23452768729641693
2020-03-02,1.5,2.6454849498327757,2.856466876971609,5.429007633587786,-0.6343402225755167
2020-03-03,0.10776545166402536,1.2290969899665551,2.4794952681388014,5.214939024390244,-0.548489666136725
2020-03-04,1.71656050955414,4.431932773109244,5.033175355450237,8.108396946564886,-0.5453100158982512
2020-03-05,1.011093502377179,3.30016583747927,4.368670886075949,6.958778625954198,0.11961722488038277
2020-03-06,0.46835443037974683,1.3261231281198003,4.77567140600316,7.195718654434251,0.7531847133757962
2020-03-07,4.3823064770932065,6.021739130434782,11.635071090047393,8.343032159264931,-0.4407051282051282
2020-03-08,8.276898734177216,11.861720067453625,12.442338072669827,6.799072642967542,-0.3003246753246753
2020-03-09,5.781299524564184,10.909698996655518,2.7677725118483414,-9.864329268292684,2.52724358974359
2020-03-10,-22.04265402843602,-24.742857142857144,-22.46771653543307,-39.8751902587519,10.063517915309447
2020-03-11,-1.8256735340729002,0.412751677852349,4.312796208530806,-7.224427480916031,1.056
2020-03-12,1.8114104595879557,4.038205980066445,6.872037914691943,1.3689024390243902,-0.16586921850079744
2020-03-13,-1.150554675118859,1.2646566164154105,3.2642405063291138,3.0565749235474007,0.7993630573248408
2020-03-14,-7.496845425867508,-4.698996655518394,-3.804416403785489,-4.796324655436448,3.257648953301127
2020-03-15,-4.493670886075949,0.2773109243697479,0.39178515007898895,4.486862442040185,1.6905537459283388
2020-03-16,-1.6751188589540411,3.080267558528428,2.1516587677725116,1.203053435114504,1.6756756756756757
2020-03-17,-4.256735340729001,0.678391959798995,-1.2602523659305993,-1.0428134556574924,1.6751592356687899
2020-03-18,-4.438095238095238,2.365771812080537,-2.0647709320695102,0.042682926829268296,2.515974440894569
2020-03-19,-7.129746835443038,2.17,-6.401263823064771,-1.9557926829268293,3.6166134185303513
2020-03-20,-10.393364928909953,2.1533333333333333,-9.759873617693524,-3.7652439024390243,4.9472
2020-03-21,-18.878548895899055,-2.3983333333333334,-16.337007874015747,-7.7315950920245395,6.435691318327974
2020-03-22,-66.0347551342812,-68.19689119170984,-64.47401574803149,-37.99384615384616,20.826599326599325
2020-03-23,-40.038034865293184,-23.157190635451506,-46.651968503937006,-32.08536585365854,15.29886914378029
2020-03-24,-53.3522906793049,-41.79495798319328,-57.18495297805643,-45.23860182370821,19.775609756097563
2020-03-25,-65.27917981072555,-59.0539629005059,-67.29356357927786,-54.509863429438546,25.60262725779967
2020-03-26,-65.14126984126985,-58.63636363636363,-67.51729559748428,-53.451367781155014,25.81937602627258
2020-03-27,-65.44285714285714,-59.206429780033844,-68.10204081632654,-52.66869300911854,26.486042692939243
2020-03-28,-65.76813880126183,-60.13242784380306,-68.0705329153605,-50.81957186544342,25.92763157894737
2020-03-29,-64.70300157977883,-59.427597955706986,-66.77864992150707,-33.90615384615385,20.909849749582637
2020-03-30,-64.48494453248811,-57.86971235194586,-68.10815047021944,-50.42792109256449,26.181372549019606
2020-03-31,-63.55537974683544,-57.416526138279934,-66.83568075117371,-50.150455927051674,24.61111111111111
2020-04-01,-64.63809523809523,-58.46869712351946,-67.23040752351098,-50.64339908952959,24.942716857610474
2020-04-02,-65.00632911392405,-59.41891891891892,-68.09076682316119,-51.98632218844985,26.111292962356792
2020-04-03,-63.69620253164557,-57.01848739495799,-67.1006289308176,-48.12024353120243,25.185245901639345
2020-04-04,-64.24881889763779,-58.047217537942664,-67.36206896551724,-44.888208269525265,24.595744680851062
2020-04-05,-63.6198738170347,-58.205128205128204,-66.54402515723271,-29.178461538461537,19.981757877280266
2020-04-06,-64.34706814580032,-55.423986486486484,-67.7817896389325,-49.955993930197266,26.251633986928105
2020-04-07,-65.99353796445881,-40.916666666666664,-61.7751572327044,-49.1,24.197389885807503
2020-04-08,-66.6086956521739,-41.1505016722408,-62.240566037735846,-48.7629179331307,24.86088379705401
2020-04-09,-67.01768488745981,-42.15307820299501,-63.06761006289308,-49.61246200607903,26.393790849673202
2020-04-10,-67.37299035369774,-42.45771144278607,-63.75433070866142,-51.39150227617603,27.24342105263158
2020-04-11,-67.54166666666667,-42.83527454242928,-63.63307086614173,-47.80398162327718,26.731587561374795
