date,confirmed,deaths,country,new_cases,new_deaths,new_cases_7day_avg,growth_rate,case_fatality_rate,retail_recreation,grocery_pharmacy,transit,workplaces,residential
2020-01-22,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-23,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-24,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-25,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-26,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-27,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-28,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-29,0,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-30,1,0,India,1.0,0.0,0.1428571428571428,500.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-01-31,1,0,India,0.0,0.0,0.1428571428571428,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-01,1,0,India,0.0,0.0,0.1428571428571428,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-02,2,0,India,1.0,0.0,0.2857142857142857,100.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-03,3,0,India,1.0,0.0,0.4285714285714285,50.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-04,3,0,India,0.0,0.0,0.4285714285714285,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-05,3,0,India,0.0,0.0,0.4285714285714285,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-06,3,0,India,0.0,0.0,0.2857142857142857,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-07,3,0,India,0.0,0.0,0.2857142857142857,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-08,3,0,India,0.0,0.0,0.2857142857142857,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-09,3,0,India,0.0,0.0,0.1428571428571428,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-10,3,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-11,3,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-12,3,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-13,3,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
2020-02-14,3,0,India,0.0,0.0,0.0,0.0,0.0,2.583596214511041,2.589018302828619,5.383280757097792,5.74885145482389,-0.84688995215311
